
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L          U2_EXT_X05_Y1  
                6.45711          195.44               3.532             10.9132E-03         3.63752          -26.3084E-03         2.63537            2.63462            3.57325          195.505            192.403            192.403              0.               349.463E-03        991.931E-03          0.                 1.E-03            25.                 1.03634E-03      -17.6392            18.0371           125.336E-06  
                6.53687          202.374              3.654             11.6539E-03         3.76723          -27.3844E-03         2.76854            2.76773            3.70085          202.441            199.208            199.208              0.               349.566E-03        992.252E-03          0.                 1.E-03            25.                 1.06878E-03      -18.138             18.3345           129.614E-06  
                6.61663          209.869              3.79127           12.0791E-03         3.89732          -27.9842E-03         2.78914            2.78838            3.82832          209.938            206.632            206.632              0.               349.341E-03        991.676E-03          0.                 1.E-03            25.                 1.10121E-03      -18.8889            18.8181           134.636E-06  
                6.6964           217.417              3.9259            12.5672E-03         4.05127          -29.0471E-03         2.91071            2.90991            3.97986          217.489            214.046            214.046              0.               349.424E-03        991.732E-03          0.                 1.E-03            25.                 1.13365E-03      -19.6597            19.2459           139.482E-06  
                6.77616          220.657              3.98837           12.5945E-03         4.0849           -28.8716E-03         2.91886            2.91808            4.01225          220.73             217.267            217.267              0.               349.279E-03        991.67E-03           0.                 1.E-03            25.                 1.16608E-03      -20.0255            19.7386           141.977E-06  
                6.85592          225.623              4.07853           12.6724E-03         4.17646          -29.9041E-03         3.02154            3.0207             4.10221          225.699            222.139            222.139              0.               349.363E-03        991.947E-03          0.                 1.E-03            25.                 1.19852E-03      -20.4661            20.6813           145.135E-06  
                6.93569          231.004              4.17329           13.1732E-03         4.29768          -30.7409E-03         3.08561            3.08476            4.22173          231.081            227.43             227.43               0.               349.393E-03        991.731E-03          0.                 1.E-03            25.                 1.23095E-03      -20.9474            21.3898           148.427E-06  
                7.01545          236.751              4.27778           13.2341E-03         4.40088          -31.2969E-03         3.15139            3.15054            4.323            236.829            233.095            233.095              0.               349.361E-03        991.68E-03           0.                 1.E-03            25.                 1.26339E-03      -21.4404            21.7125           152.129E-06  
                7.09521          245.839              4.44338           13.5463E-03         4.55967          -32.7844E-03         3.29318            3.29226            4.47879          245.921            242.038            242.038              0.               349.384E-03        991.892E-03          0.                 1.E-03            25.                 1.29582E-03      -22.3675            22.1369           158.141E-06  
                7.17498          252.865              4.56962           14.4752E-03         4.69105          -33.4992E-03         3.36132            3.3604             4.60786          252.949            248.968            248.968              0.               349.333E-03        991.713E-03          0.                 1.E-03            25.                 1.32826E-03      -22.9451            22.5821           162.526E-06  
                7.25474          258.909              4.67616           14.9711E-03         4.81306          -34.4117E-03         3.40861            3.4077             4.72795          258.995            254.93             254.93               0.               349.287E-03        991.434E-03          0.                 1.E-03            25.                 1.36069E-03      -23.3641            23.0383           166.113E-06  
                7.33451          263.727              4.76687           14.5704E-03         4.887            -34.983E-03          3.50686            3.50589            4.80021          263.815            259.664            259.664              0.               349.324E-03        991.756E-03          0.                 1.E-03            25.                 1.39312E-03      -23.7619            24.0792           169.371E-06  
