
                  X               SDV_EQPS           SDV_Seq            SDV_Qeq             MISES      

                0.                 0.                 0.                 0.                 0.         
              145.936E-03        132.567E-03        730.997            730.997            730.997      
              146.582E-03        133.128E-03        731.503            731.503            731.503      
              147.228E-03        133.688E-03        732.006            732.006            732.006      
              147.873E-03        134.248E-03        732.507            732.507            732.507      
              148.519E-03        134.808E-03        733.006            733.006            733.006      
              149.164E-03        135.367E-03        733.503            733.503            733.503      
              149.81E-03         135.926E-03        733.998            733.998            733.998      
              150.455E-03        136.485E-03        734.49             734.49             734.49       
              151.1E-03          137.043E-03        734.98             734.98             734.98       
              151.745E-03        137.601E-03        735.468            735.468            735.468      
              152.39E-03         138.158E-03        735.953            735.953            735.953      
              153.035E-03        138.715E-03        736.437            736.437            736.437      
              153.68E-03         139.272E-03        736.918            736.918            736.918      
              154.324E-03        139.828E-03        737.398            737.398            737.398      
              154.969E-03        140.384E-03        737.875            737.875            737.875      
              155.613E-03        140.939E-03        738.35             738.35             738.35       
              156.258E-03        141.494E-03        738.823            738.823            738.823      
              156.902E-03        142.049E-03        739.294            739.294            739.294      
              157.546E-03        142.604E-03        739.763            739.763            739.763      
              158.19E-03         143.157E-03        740.23             740.23             740.23       
              158.834E-03        143.711E-03        740.695            740.695            740.695      
              159.478E-03        144.264E-03        741.158            741.158            741.158      
              160.122E-03        144.817E-03        741.619            741.619            741.619      
              160.766E-03        145.369E-03        742.078            742.078            742.078      
              161.409E-03        145.922E-03        742.535            742.535            742.535      
              162.053E-03        146.473E-03        742.99             742.99             742.99       
              162.696E-03        147.024E-03        743.444            743.444            743.444      
              163.34E-03         147.575E-03        743.895            743.895            743.895      
              163.983E-03        148.126E-03        744.345            744.345            744.345      
              164.626E-03        148.676E-03        744.793            744.793            744.793      
              165.269E-03        149.226E-03        745.238            745.238            745.238      
              165.912E-03        149.775E-03        745.683            745.683            745.683      
              166.555E-03        150.324E-03        746.125            746.125            746.125      
              167.198E-03        150.873E-03        746.565            746.565            746.565      
              167.84E-03         151.421E-03        747.004            747.004            747.004      
              168.483E-03        151.969E-03        747.441            747.441            747.441      
              169.126E-03        152.517E-03        747.876            747.876            747.876      
              169.768E-03        153.064E-03        748.31             748.31             748.31       
              170.41E-03         153.611E-03        748.741            748.741            748.741      
              171.053E-03        154.157E-03        749.171            749.171            749.171      
              171.695E-03        154.703E-03        749.6              749.6              749.6        
              172.337E-03        155.249E-03        750.026            750.026            750.026      
              172.979E-03        155.794E-03        750.451            750.451            750.451      
              173.621E-03        156.339E-03        750.875            750.875            750.875      
              174.262E-03        156.884E-03        751.296            751.296            751.296      
              174.904E-03        157.428E-03        751.716            751.716            751.716      
              175.546E-03        157.972E-03        752.135            752.135            752.135      
              176.187E-03        158.515E-03        752.552            752.552            752.552      
              176.828E-03        159.058E-03        752.967            752.967            752.967      
              177.47E-03         159.601E-03        753.38             753.38             753.38       
              178.111E-03        160.143E-03        753.792            753.792            753.792      
              178.752E-03        160.685E-03        754.203            754.203            754.203      
              179.393E-03        161.227E-03        754.612            754.612            754.612      
              180.034E-03        161.768E-03        755.019            755.019            755.019      
              180.675E-03        162.309E-03        755.425            755.425            755.425      
              181.315E-03        162.849E-03        755.829            755.829            755.829      
              181.956E-03        163.39E-03         756.232            756.232            756.232      
              182.597E-03        163.929E-03        756.634            756.634            756.634      
              183.237E-03        164.469E-03        757.034            757.034            757.034      
              183.877E-03        165.008E-03        757.432            757.432            757.432      
              184.518E-03        165.546E-03        757.829            757.829            757.829      
              185.158E-03        166.085E-03        758.224            758.224            758.224      
              185.798E-03        166.623E-03        758.618            758.618            758.618      
              186.438E-03        167.16E-03         759.011            759.011            759.011      
              187.078E-03        167.697E-03        759.402            759.402            759.402      
              187.717E-03        168.234E-03        759.792            759.792            759.792      
              188.357E-03        168.771E-03        760.18             760.18             760.18       
              188.997E-03        169.307E-03        760.567            760.567            760.567      
              189.636E-03        169.843E-03        760.953            760.953            760.953      
              190.276E-03        170.378E-03        761.337            761.337            761.337      
              190.915E-03        170.913E-03        761.72             761.72             761.72       
              191.554E-03        171.448E-03        762.102            762.102            762.102      
              192.193E-03        171.982E-03        762.482            762.482            762.482      
              192.832E-03        172.516E-03        762.861            762.861            762.861      
              193.471E-03        173.05E-03         763.238            763.238            763.238      
              194.11E-03         173.583E-03        763.615            763.615            763.615      
              194.749E-03        174.116E-03        763.989            763.989            763.989      
              195.387E-03        174.649E-03        764.363            764.363            764.363      
              196.026E-03        175.181E-03        764.735            764.735            764.735      
              196.664E-03        175.713E-03        765.106            765.106            765.106      
              197.303E-03        176.244E-03        765.476            765.476            765.476      
              197.941E-03        176.775E-03        765.845            765.845            765.845      
              198.579E-03        177.306E-03        766.212            766.212            766.212      
              199.217E-03        177.836E-03        766.578            766.578            766.578      
              199.855E-03        178.366E-03        766.943            766.943            766.943      
              200.493E-03        178.896E-03        767.306            767.306            767.306      
              201.131E-03        179.425E-03        767.669            767.669            767.669      
