
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L            U2_EXT_Y1    
                5.2198            54.4962            -1.00823E-03      456.215E-06          6.25303         -315.294E-06        -33.4646E-03       -33.4646E-03         6.25303           54.4962            51.6741            51.6741             0.               391.659E-03        798.407E-03          0.                 1.E-03            25.               709.892E-06         -8.58573            8.62716           52.4685E-06 
                5.30537           55.9698            -1.70547E-03      -97.7882E-06         7.31143          -82.3288E-06      -149.448E-03       -149.448E-03          7.31143           55.9698            52.7857            52.7857             0.               398.667E-03        765.633E-03          0.                 1.E-03            25.               737.988E-06         -8.8954             8.64974           53.5949E-06 
                5.39094           57.8554          -597.12E-06         194.182E-06          8.0611           289.851E-06         -1.89564E-03       -1.89565E-03        8.0611            57.8554            54.2768            54.2768             0.               404.805E-03        753.612E-03          0.                 1.E-03            25.               767.324E-06         -9.19041            9.31672           55.3701E-06 
                5.47651           60.2528            -1.36411E-03       40.7528E-06         7.66159          -90.9434E-06      -104.083E-03       -104.083E-03          7.66159           60.2528            56.873             56.873              0.               397.436E-03        773.628E-03          0.                 1.E-03            25.               797.899E-06         -9.53079            9.8895            57.8561E-06 
                5.56208           63.1611          -612.87E-06        -136.452E-06          8.43438         -141.811E-06         -4.9729E-03        -4.97291E-03        8.43438           63.1611            59.3978            59.3978             0.               401.758E-03        764.401E-03          0.                 1.E-03            25.               829.713E-06         -9.98754            9.88953           60.5583E-06 
                5.64765           65.4716            -1.34052E-03      189.615E-06          8.44393          -35.136E-06        -92.3068E-03       -92.3068E-03         8.44393           65.4716            61.74              61.74               0.               398.571E-03        770.768E-03          0.                 1.E-03            25.               862.767E-06        -10.4557            10.3619            62.9264E-06 
                5.73322           67.974             -1.54277E-03       31.2241E-06         8.73157           43.6243E-06      -849.664E-06       -849.664E-06          8.73157           67.974             64.0566            64.0566             0.               399.151E-03        773.996E-03          0.                 1.E-03            25.               897.059E-06        -10.766             10.68              65.1528E-06 
                5.81879           70.2392            -1.92149E-03      215.002E-06          8.53486          399.54E-06          -9.52939E-03       -9.52941E-03        8.53486           70.2392            66.3902            66.3902             0.               395.463E-03        786.69E-03           0.                 1.E-03            25.               932.591E-06        -11.1409            11.4294            67.5273E-06 
                5.90436           72.5772            -1.58068E-03     -237.322E-06          9.61688          216.339E-06         14.0252E-03        14.0252E-03         9.61688           72.5772            68.2701            68.2701             0.               401.386E-03        766.772E-03          0.                 1.E-03            25.               969.361E-06        -11.5121            11.8402            69.589E-06  
                5.98992           76.4407            -1.31088E-03      329.384E-06         10.411           -421.479E-06        -65.5169E-03       -65.5169E-03        10.411             76.4407            71.8431            71.8431             0.               402.665E-03        758.163E-03          0.                 1.E-03            25.                 1.00737E-03      -12.2015            12.0138            73.2279E-06 
                6.07549           80.7579            -2.27303E-03      124.331E-06          9.5233           -91.4343E-06       -65.4263E-03       -65.4263E-03         9.5233            80.7579            76.4811            76.4811             0.               393.194E-03        792.224E-03          0.                 1.E-03            25.                 1.04662E-03      -12.8097            12.4642            77.6618E-06 
                6.16106           81.7725            -1.11835E-03     -203.001E-06         10.0227           240.836E-06         53.4317E-03        53.4317E-03        10.0227            81.7725            77.2186            77.2186             0.               396.488E-03        786.015E-03          0.                 1.E-03            25.                 1.08711E-03      -12.9599            13.1459            78.6681E-06 
                6.24662           84.4088            -2.72136E-03      221.212E-06         11.3382          -264.987E-06         -5.62133E-03       -5.62134E-03       11.3382            84.4088            79.3529            79.3529             0.               402.175E-03        762.948E-03          0.                 1.E-03            25.                 1.12883E-03      -13.4696            13.8229            80.8697E-06 
                6.33218           87.8594            -1.51816E-03      273.858E-06         11.4521           -58.2056E-06       -39.8841E-03       -39.8841E-03        11.4521            87.8594            82.7539            82.7539             0.               399.867E-03        769.754E-03          0.                 1.E-03            25.                 1.1718E-03       -13.9685            14.1088            84.2537E-06 
                6.41775           92.7964            -3.93274E-03     -458.68E-06          10.8221            65.0897E-06       114.068E-03        114.068E-03         10.8221            92.7964            87.8194            87.8194             0.               393.735E-03        797.949E-03          0.                 1.E-03            25.                 1.216E-03        -14.7459            14.5684            89.3639E-06 
                6.50331           96.1078            -1.42159E-03       35.2597E-06        12.905           -828.336E-06        -61.3041E-03       -61.3042E-03        12.905             96.1078            90.3862            90.3862             0.               401.8E-03          762.114E-03          0.                 1.E-03            25.                 1.26145E-03      -15.2708            14.9718            92.1289E-06 
                6.58887           98.3856            -2.43739E-03     -206.425E-06         12.3508           397.273E-06         44.6973E-03        44.6973E-03        12.3508            98.3856            92.8018            92.8018             0.               397.913E-03        780.185E-03          0.                 1.E-03            25.                 1.30813E-03      -15.5893            15.947             94.4919E-06 
                6.67443          102.535             -1.64374E-03     -155.723E-06         12.9057           -79.9298E-06        -6.90122E-03       -6.90122E-03       12.9057           102.535             96.7341            96.7341             0.               397.77E-03         778.722E-03          0.                 1.E-03            25.                 1.35589E-03      -16.2738            16.5456            98.4934E-06 
                6.75999          106.974             -2.42908E-03     -376.927E-06         13.5797            45.0828E-06       -53.9726E-03       -53.9726E-03        13.5797           106.974            100.904            100.904              0.               398.066E-03        776.009E-03          0.                 1.E-03            25.                 1.4038E-03       -16.9205            16.6541           102.704E-06  
                6.84555          109.881             -2.52684E-03      137.809E-06         14.0962          -183.888E-06        -34.6686E-03       -34.6686E-03        14.0962           109.881            103.576            103.576              0.               398.879E-03        773.819E-03          0.                 1.E-03            25.                 1.45172E-03      -17.5148            17.4278           105.482E-06  
                6.93111          113.106             -2.16774E-03       43.9297E-06        14.9004            23.7293E-06       -25.4036E-03       -25.4036E-03        14.9004           113.106            106.457            106.457              0.               400.731E-03        767.528E-03          0.                 1.E-03            25.                 1.49963E-03      -17.9547            17.891            108.526E-06  
                7.01667          117.093             -2.99641E-03     -155.707E-06         14.3212           104.193E-06         85.0144E-03        85.0144E-03        14.3212           117.093            110.579            110.579              0.               396.395E-03        786.618E-03          0.                 1.E-03            25.                 1.54754E-03      -18.5506            18.8639           112.655E-06  
                7.10222          120.938             -2.15353E-03     -350.983E-06         15.5859          -238.942E-06        -69.2504E-03       -69.2504E-03        15.5859           120.938            113.989            113.989              0.               399.029E-03        772.304E-03          0.                 1.E-03            25.                 1.59545E-03      -19.1866            19.184            116.083E-06  
                7.18778          125.319             -2.81419E-03      -29.9782E-06        15.9522            18.7027E-06      -126.413E-03       -126.413E-03         15.9522           125.319            118.229            118.229              0.               397.942E-03        774.542E-03          0.                 1.E-03            25.                 1.64337E-03      -19.8961            19.4559           120.172E-06  
                7.27333          128.332             -2.91593E-03     -120.838E-06         15.8683          -282.383E-06         12.0495E-03        12.0495E-03        15.8683           128.332            121.173            121.173              0.               396.714E-03        783.099E-03          0.                 1.E-03            25.                 1.69128E-03      -20.3871            20.4331           123.36E-06   
                7.35889          130.63              -3.09357E-03      180.732E-06         16.3227          -256.8E-06          808.235E-06        808.231E-06         16.3227           130.63             123.281            123.281              0.               397.339E-03        780.537E-03          0.                 1.E-03            25.                 1.73919E-03      -20.7489            20.9438           125.567E-06  
                7.44444          135.575             -2.82537E-03      -88.1083E-06        17.7893           371.944E-06        -47.0425E-03       -47.0425E-03        17.7893           135.575            127.642            127.642              0.               400.383E-03        768.309E-03          0.                 1.E-03            25.                 1.7871E-03       -21.5204            21.6873           129.9E-06    
                7.52999          138.589             -3.7302E-03       -19.5406E-06        16.8323          -117.275E-06         50.6808E-03        50.6808E-03        16.8323           138.589            130.956            130.956              0.               395.735E-03        787.61E-03           0.                 1.E-03            25.                 1.83501E-03      -22.0247            21.8242           133.351E-06  
                7.61554          144.15              -2.93727E-03      121.186E-06         17.1666           -18.4991E-06        71.4182E-03        71.4182E-03        17.1666           144.15             136.337            136.337              0.               394.58E-03         792.199E-03          0.                 1.E-03            25.                 1.88292E-03      -22.8437            22.4686           138.753E-06  
                7.70109          146.06              -3.76941E-03      272.043E-06         18.8094           487.603E-06        -44.9055E-03       -44.9055E-03        18.8094           146.06             137.65             137.65               0.               399.14E-03         772.913E-03          0.                 1.E-03            25.                 1.93082E-03      -23.2028            23.1747           140.135E-06  
                7.78664          148.407             -3.41199E-03       15.2094E-06        19.0661          -370.18E-06         -13.655E-03        -13.655E-03         19.0661           148.407            139.86             139.86               0.               399.111E-03        773.834E-03          0.                 1.E-03            25.                 1.97873E-03      -23.6006            24.0986           142.419E-06  
                7.87219          153.523             -4.1948E-03       -76.6256E-06        19.1925           -85.4678E-06        16.3857E-03        16.3857E-03        19.1925           153.523            144.874            144.874              0.               397.431E-03        780.589E-03          0.                 1.E-03            25.                 2.02664E-03      -24.4               24.4453           147.488E-06  
